#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;S400;S1400;S2000;DIST;DIST_DM;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[mJy];[mJy];[mJy];[kpc];[kpc];;;TYPE
46;J0043-73;NAN;NAN;NAN;57990.69;303.737;-43.932;10.85416667;-73.18333333;0.937429;NAN;115.1;NAN;NAN;NAN;0.05;NAN;58.938;58.938;EXGAL:SMC;misc;NAN
47;J0045-7042;NAN;NAN;NAN;52407;303.652;-46.418;11.35704167;-70.70197222;0.632336;2.49E-15;70;19;NAN;NAN;0.11;NAN;59.7;58.52;EXGAL:SMC;misc;NAN
48;J0045-7319;NAN;NAN;NAN;49144;303.514;-43.804;11.3965;-73.3175;0.926276;4.46E-15;105.4;20;220;1;0.3;NAN;59.7;58.725;EXGAL:SMC;misc;NAN
49;J0048+3412;NAN;NAN;NAN;49875;122.255;-28.666;12.14160282;34.20223077;1.217094;2.35E-15;39.92;21.7;31.5;2.3;NAN;NAN;4.5;4.5;NAN;gb2,gb3,lotaas;NAN
50;J0050+03;NAN;NAN;NAN;57022;122.485;-59.071;12.62916667;3.8;1.36656;NAN;26.5;33;NAN;NAN;NAN;NAN;25;25;NAN;AO327;NAN
51;J0051+0423;NAN;NAN;NAN;49800;122.962;-58.491;12.87541667;4.38027778;0.354732;7E-18;13.93;11;34;3;0.5;NAN;1.25;1.25;NAN;gb4,lotaas,gbncc;NAN
52;J0052-72;NAN;NAN;NAN;58008.54;302.82;-45.045;13.11666667;-72.08333333;0.191444;NAN;158.6;NAN;NAN;NAN;0.04;NAN;60.261;60.261;EXGAL:SMC;misc;NAN
53;J0054+66;NAN;NAN;NAN;54100;123.193;3.13;13.5;66;1.39;NAN;15;NAN;NAN;NAN;NAN;NAN;0.901;0.901;NAN;gb350;RRAT
54;J0054+69;NAN;NAN;NAN;NAN;123.2;6.563;13.61666667;69.43333333;NAN;NAN;90.3;NAN;NAN;NAN;NAN;NAN;2.347;2.347;NAN;gbncc;RRAT[kkl+15]
55;J0054+6946;NAN;NAN;NAN;56500;123.241;6.902;13.7463175;69.77134719;0.832911;7.19E-16;116.52;14;31;NAN;NAN;NAN;2.758;2.758;NAN;gbncc;NAN
