#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;S400;S1400;S2000;DIST;DIST_DM;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[mJy];[mJy];[mJy];[kpc];[kpc];;;TYPE
1322;J1649-3805;NAN;NAN;NAN;52885;345.815;4.194;252.450925;-38.09975;0.262026;3.67E-17;213.8;8;34;NAN;1.75;NAN;8.839;8.839;NAN;pksmb,htru_pks;NAN
1323;J1649-3935;NAN;NAN;NAN;55985;344.577;3.341;252.27783333;-39.59561111;0.77091;3.91E-17;290;22.8;45.7;NAN;0.05;NAN;13.459;13.459;NAN;htru_pks;NAN
1324;J1649-4349;NAN;NAN;NAN;51243;341.36;0.596;252.33508333;-43.82283333;0.870712;4.4E-17;398.6;26;NAN;NAN;0.75;NAN;4.408;4.408;NAN;pksmb,htru_pks;NAN
1325;J1649-4653;NAN;NAN;NAN;55360;339.019;-1.38;252.35254167;-46.88591667;0.557036;4.96E-14;331;11.9;NAN;NAN;0.37;NAN;4.964;4.964;NAN;pksmb,htru_pks;NAN
1326;J1649-4729;NAN;NAN;NAN;51157;338.538;-1.759;252.326125;-47.49805556;0.297692;6.55E-15;540.2;18;NAN;NAN;0.29;NAN;14.32;14.32;NAN;pksmb,htru_pks;NAN
1327;J1649-5553;NAN;NAN;NAN;51650;332.077;-7.148;252.37958333;-55.89444444;0.613571;1.7E-15;180.4;47.9;NAN;NAN;1.4;NAN;11.604;11.604;NAN;pkssw,htru_pks;NAN
1328;J1650-1654;-15.07;-6.55;NAN;56000;2.856;17.234;252.61320583;-16.911745;1.749552;3.2E-15;43.25;44.2;72;13;1.1;NAN;1.055;1.055;NAN;pks70;NAN
1329;J1650-4126;NAN;NAN;NAN;51685;343.291;1.997;252.55489167;-41.44272222;0.308918;1.98E-17;251.5;7.6;15;NAN;0.29;NAN;4.869;4.869;NAN;pksmb,htru_pks;NAN
1330;J1650-4341;NAN;NAN;NAN;51737;341.623;0.485;252.68616667;-43.69188889;0.309398;1.67E-17;672.8;20;NAN;NAN;0.26;NAN;5.342;5.342;NAN;pksmb,htru_pks;NAN
1331;J1650-4502;NAN;NAN;NAN;51118;340.559;-0.351;252.63458333;-45.04369444;0.38087;1.61E-14;320.2;5.2;19;NAN;0.61;NAN;3.918;3.918;NAN;pksmb,htru_pks;NAN
1332;J1650-4601;NAN;NAN;NAN;55716;339.782;-0.946;252.57758333;-46.02183333;0.127123;1.51E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;GRS:4FGL_J1650.3-4600[fermi21];FermiBlind;NRAD
1333;J1650-4921;NAN;NAN;NAN;55599;337.248;-3.108;252.6462875;-49.35104444;0.1564;1.82E-15;229.3;3;NAN;NAN;0.29;NAN;5.307;5.307;NAN;pksmb,htru_pks;NAN
1334;J1651+14;NAN;NAN;NAN;NAN;32.88;33.069;252.75;14.36666667;0.828;NAN;48;3;NAN;NAN;NAN;NAN;25;25;NAN;misc;NAN
1335;J1651-1709;NAN;NAN;NAN;50027;2.81;16.882;252.882303;-17.15614106;0.973394;3.04E-15;33.46;27.4;36.6;9;0.3;NAN;0.836;0.836;NAN;mol2,gb2,gb3,pks70;NAN
1336;J1651-4246;NAN;NAN;NAN;57600;342.458;0.923;252.95332083;-42.76943611;0.844081;4.75E-15;482;102.2;165;100;21.4;NAN;5.2;5.753;NAN;mol2,pks1,pks70,pksmb,htru_pks;NAN
1337;J1651-4519;NAN;NAN;NAN;51399;340.506;-0.719;252.98833333;-45.31972222;0.517443;8.19E-15;562;52;NAN;NAN;0.54;NAN;5.061;5.061;NAN;pksmb,htru_pks;NAN
1338;J1651-5222;NAN;NAN;NAN;57600;335.014;-5.172;252.92900833;-52.38288333;0.635058;1.81E-15;179.1;16.1;24;23;4.1;NAN;6.284;6.284;NAN;mol2,pks70,pkssw,pksmb,htru_pks;NAN
1339;J1651-5255;NAN;NAN;NAN;57600;334.586;-5.515;252.92254167;-52.92991667;0.890537;2.12E-15;164;20.8;65;12;2.72;NAN;5.809;5.809;NAN;mol2,pkssw,htru_pks;NAN
1340;J1651-7642;NAN;NAN;NAN;53000;315.149;-19.953;252.78279167;-76.71097222;1.755311;1.36E-15;59.9;75.6;104.9;NAN;0.7;NAN;3.361;3.361;NAN;pkssw;NAN
1341;J1652-1400;NAN;NAN;NAN;53000;5.599;18.581;253.0694875;-14.00761111;0.305447;1.76E-17;49.5;9.5;23.1;NAN;0.4;NAN;0.598;0.598;NAN;pkssw;NAN
1342;J1652-2404;NAN;NAN;NAN;48742;357.315;12.454;253.24387329;-24.06413041;1.703739;3.16E-15;68.41;29.8;52.1;9.2;1.44;NAN;3.369;3.369;NAN;mol2,pks70,pkssw,htru_pks,gbncc;NAN
1343;J1652+2651;NAN;NAN;NAN;51739;47.402;36.954;253.01279167;26.86122222;0.915803;6.54E-16;40.8;27;48;11.3;NAN;NAN;25;25;NAN;ar4,gb4,lotaas,gbncc;NAN
1344;J1652-4406;NAN;NAN;NAN;54947;341.564;-0.088;253.24791667;-44.10138889;7.707183;9.5E-15;786;NAN;NAN;NAN;NAN;NAN;5.108;5.108;NAN;pksmb,htru_pks;RRAT
1345;J1652-48;NAN;NAN;NAN;51373.3;337.954;-3.019;253.225;-48.75;0.003785;NAN;187.8;NAN;NAN;NAN;2.7;NAN;4.386;4.386;NAN;pksmb;NAN
1346;J1653-0158;-19.62;-3.74;1.88;57205.88;16.615;24.935;253.40855754;-1.97691472;0.001968;2.4E-21;NAN;NAN;NAN;NAN;NAN;NAN;0.84;NAN;GRS:4FGL_J1653.6-0158[fermi21];FermiAssoc;NRAD
1347;J1653-2054;NAN;NAN;NAN;55694.6;359.969;14.261;253.37929167;-20.91530556;0.004129;1.12E-20;56.56;NAN;NAN;NAN;0.16;NAN;2.635;2.635;NAN;htru_pks;NAN
1348;J1653-3838;NAN;NAN;NAN;48360.5;345.878;3.268;253.415825;-38.63911111;0.305037;2.79E-15;207.2;2.4;15;NAN;2;NAN;5.44;5.44;NAN;pks1,pksmb,htru_pks;NAN
1349;J1653-4030;NAN;NAN;NAN;53139;344.422;2.107;253.392625;-40.50038889;1.019372;4.36E-16;425;122;161;NAN;0.4;NAN;17.188;17.188;NAN;pksmb,htru_pks;NAN
1350;J1653-4105;NAN;NAN;NAN;57883;343.946;1.756;253.355725;-41.09044444;0.498978;5.41E-17;419.4;22.8;45;NAN;0.27;NAN;14.022;14.022;NAN;htru_pks;NAN
1351;J1653-4249;NAN;NAN;NAN;51118;342.636;0.629;253.41758333;-42.81758333;0.612558;4.81E-15;416.1;11.9;29;NAN;1.5;NAN;4.475;4.475;NAN;pksmb,htru_pks;NAN
1352;J1653-4315;NAN;NAN;NAN;51587;342.281;0.38;253.37375;-43.25027778;0.41928;1.5E-17;337;105;NAN;NAN;0.53;NAN;4.004;4.004;NAN;pksmb,htru_pks;NAN
1353;J1653-45;NAN;NAN;NAN;NAN;340.751;-0.961;253.475;-45.28333333;0.950977;NAN;207;15.9;29.1;NAN;NAN;NAN;3.507;3.507;NAN;htru_pks;BINARY[ccb+20]
1354;J1653-4854;NAN;NAN;NAN;51708;337.936;-3.256;253.48625;-48.91416667;3.05951;3.45E-15;354;75;NAN;NAN;0.18;NAN;15.188;15.188;NAN;pksmb,htru_pks;NAN
1355;J1654-23;NAN;NAN;NAN;55261;357.859;12.552;253.5125;-23.58333333;0.54536;NAN;74.5;NAN;NAN;NAN;NAN;NAN;4.071;4.071;NAN;pkssw;RRAT
1356;J1654-2636;NAN;NAN;NAN;54793;355.499;10.601;253.6625;-26.605;1.62373;NAN;103.3;26;150;NAN;NAN;NAN;6.603;6.603;NAN;htru_pks,gbncc;NAN
1357;J1654-2713;NAN;NAN;NAN;51002;354.972;10.271;253.59844778;-27.21710208;0.791822;1.68E-16;92.31;11.7;32;9;0.3;NAN;4.942;4.942;NAN;pks70,gbncc;NAN
1358;J1654-3710;NAN;NAN;NAN;53131;347.147;4.018;253.68510833;-37.18252778;0.939165;7.35E-16;302;18;35;NAN;0.22;NAN;19.006;19.006;NAN;pksmb,htru_pks;NAN
1359;J1654-4140;NAN;NAN;NAN;51399;343.609;1.247;253.59791667;-41.67333333;1.273945;1.3E-16;307;19;NAN;NAN;0.71;NAN;4.645;4.645;NAN;pksmb,htru_pks;NAN
1360;J1654-4245;NAN;NAN;NAN;54024.2;342.761;0.565;253.592;-42.76083333;1.101555;5.12E-14;950;31;NAN;NAN;0.14;NAN;10.606;10.606;NAN;pksmb;NAN
1361;J1655-3048;NAN;NAN;NAN;51500;352.245;7.88;253.85220833;-30.81166667;0.542936;3.66E-17;154.1;81.6;110;NAN;2.2;NAN;10.67;10.67;NAN;pkssw,htru_pks,gbncc;NAN
1362;J1655-3844;NAN;NAN;NAN;54863.3;346.046;2.906;253.91108333;-38.73583333;1.193439;2E-15;365;95.5;NAN;NAN;0.25;NAN;19.04;19.04;NAN;pksmb,htru_pks;NAN
1363;J1656+00;NAN;NAN;NAN;57022;19.336;25.51;254.17083333;0.43333333;1.49785;NAN;46.9;34;NAN;NAN;NAN;NAN;3.94;3.94;NAN;AO327;NAN
1364;J1656-3621;NAN;NAN;NAN;53123;348.013;4.245;254.1373125;-36.36658333;0.730134;1.28E-15;229;20;40;NAN;0.29;NAN;10.733;10.733;NAN;pksmb,htru_pks;NAN
1365;J1656+6203;NAN;NAN;NAN;57652;91.938;37.144;254.042875;62.06400278;0.776155;8.44E-16;35.26;16.7;30.4;NAN;NAN;NAN;25;25;NAN;lotaas;NAN
1366;J1657-0406A;NAN;NAN;NAN;NAN;15.137;23.076;254.28791667;-4.10027778;0.00473;NAN;43.9;NAN;NAN;NAN;NAN;NAN;4.4;0.786;GC:M10(NGC6254)[pqm+21];misc;NAN
1367;J1657-0406B;NAN;NAN;NAN;NAN;15.137;23.076;254.28791667;-4.10027778;0.00735;NAN;43.35;NAN;NAN;NAN;NAN;NAN;4.4;0.767;GC:M10(NGC6254)[pqm+21];misc;BINARY?[pqm+21]
1368;J1657+3304;NAN;NAN;NAN;57927;55.344;37.124;254.461175;33.07601389;1.570276;1.73E-15;23.97;38.1;49.8;NAN;NAN;NAN;2.366;2.366;NAN;misc,lotaas;NAN
1369;J1657-4432;NAN;NAN;NAN;51685;341.743;-1.006;254.40304167;-44.53888889;0.609607;8.2E-15;375.3;13;30;NAN;0.38;NAN;4.558;4.558;NAN;pksmb,htru_pks;NAN
1370;J1658-2823;NAN;NAN;NAN;NAN;354.538;8.917;254.5125;-28.38444444;3.3597;NAN;85.5;NAN;NAN;NAN;NAN;NAN;3.473;3.473;NAN;gbncc;RRAT[mss+20]
1371;J1658+3630;15;-65;NAN;58073;59.626;37.579;254.61049917;36.50835972;0.033028;1.16E-19;3.04;0.677;6.12;NAN;NAN;NAN;0.224;0.224;NAN;lotaas;NAN
1372;J1658-4306;NAN;NAN;NAN;51451;342.933;-0.214;254.56916667;-43.11388889;1.166449;4.28E-14;845;97;NAN;NAN;0.8;NAN;5.254;5.254;NAN;pksmb,htru_pks;NAN
1373;J1658-47;NAN;NAN;NAN;56657;339.742;-2.767;254.6;-47.2;0.369365;NAN;533;27.4;43.8;NAN;0.18;NAN;23.425;23.425;NAN;htru_pks;NAN
1374;J1658-4958;NAN;NAN;NAN;52146;337.602;-4.554;254.72883333;-49.98288889;0.416874;3.86E-15;193.4;12.2;26;NAN;1.6;NAN;6.107;6.107;NAN;pksmb,htru_pks;NAN
1375;J1658-5324;0.2;4.9;NAN;55520;334.869;-6.625;254.66393162;-53.40194528;0.002439;1.12E-20;30.81;NAN;NAN;NAN;0.7;NAN;0.88;0.88;GRS:4FGL_J1658.6-5323[fermi21],XRS:[pb15;FermiAssoc;HE
1376;J1659-1305;NAN;NAN;NAN;49725;7.507;17.592;254.97119792;-13.08583042;0.640958;6.18E-16;60.37;8.7;21.3;6.3;0.8;NAN;0.485;0.485;NAN;gb2,pks70;NAN
1377;J1659-4316;NAN;NAN;NAN;51527;343;-0.547;254.98491667;-43.26833333;0.474381;1.71E-16;640.9;11;NAN;NAN;0.21;NAN;4.986;4.986;NAN;pksmb,htru_pks;NAN
1378;J1659-4439;NAN;NAN;NAN;51685;341.881;-1.361;254.91433333;-44.65027778;0.353293;2.5E-17;535;18;NAN;NAN;0.42;NAN;12.689;12.689;NAN;pksmb,htru_pks;NAN
1379;J1659-54;NAN;NAN;NAN;58196.8;334.459;-7.077;254.84583333;-54;0.544573;NAN;134;NAN;NAN;NAN;NAN;NAN;5.658;5.658;NAN;misc;NAN
1380;J1700-0954;NAN;NAN;NAN;57199;10.307;19.33;255.01345;-9.912;0.817312;7.52E-16;64.1;33.5;NAN;NAN;0.35;NAN;0.217;0.217;NAN;pks_superb;NAN
1381;J1700-3312;NAN;NAN;NAN;50856;351.055;5.489;255.22075537;-33.21291686;1.358307;4.71E-15;166.97;31.7;50;21;1.6;NAN;7.386;7.386;NAN;pks70,pkssw,pksmb,htru_pks,gbncc;NAN
1382;J1700-3611;NAN;NAN;NAN;52828;348.679;3.672;255.2055;-36.19805556;1.494091;4.32E-15;232.7;22;60;NAN;0.8;NAN;9.288;9.288;NAN;pksmb,htru_pks,gbncc;NAN
1383;J1700-3919;NAN;NAN;NAN;52025;346.161;1.826;255.09279167;-39.31667222;0.560504;5.03E-18;354.3;14;NAN;NAN;0.23;NAN;11.634;11.634;NAN;pksmb,htru_pks;NAN
1384;J1700-4012;NAN;NAN;NAN;53105;345.488;1.234;255.160625;-40.21072222;0.283792;9.91E-17;385;16;27;NAN;0.13;NAN;6.699;6.699;NAN;pksmb,htru_pks;NAN
1385;J1700-4422;NAN;NAN;NAN;55065;342.235;-1.364;255.223625;-44.37416667;0.755535;4E-17;404.9;47.2;72;NAN;0.3;NAN;6.362;6.362;NAN;htru_pks;NAN
1386;J1700-4939;NAN;NAN;NAN;51709;338.008;-4.538;255.094;-49.65416667;0.578363;1.08E-15;278;13;79;NAN;0.17;NAN;15.418;15.418;NAN;pksmb;NAN
1387;J1701-3006A;NAN;NAN;NAN;55038;353.578;7.322;255.30212258;-30.10838139;0.005242;-1.3E-19;114.97;NAN;NAN;NAN;0.4;0.12;7.05;4.88;GC:M62(NGC6266);pksgc;NAN
1388;J1701-3006B;NAN;NAN;NAN;55038;353.574;7.319;255.30278208;-30.11362333;0.003594;-3.48E-19;115.21;NAN;NAN;NAN;0.3;0.08;7.05;4.901;GC:M62(NGC6266);pksgc;NAN
1389;J1701-3006C;NAN;NAN;NAN;55038;353.572;7.316;255.303608;-30.11650417;0.007613;-6.41E-20;114.56;NAN;NAN;NAN;0.3;0.72;7.05;4.834;GC:M62(NGC6266);pksgc;NAN
1390;J1701-3006D;NAN;NAN;NAN;55038;353.577;7.317;255.30651292;-30.11182194;0.003418;1.26E-19;114.22;NAN;NAN;NAN;NAN;0.07;7.05;4.802;GC:M62(NGC6266);misc;NAN
1391;J1701-3006E;NAN;NAN;NAN;55038;353.576;7.317;255.30530583;-30.113025;0.003234;3.1E-19;113.79;NAN;NAN;NAN;NAN;0.04;7.05;4.76;GC:M62(NGC6266);misc;NAN
1392;J1701-3006F;NAN;NAN;NAN;55038;353.573;7.318;255.30342583;-30.11439444;0.002295;2.22E-19;113.29;NAN;NAN;NAN;NAN;0.01;7.05;4.713;GC:M62(NGC6266);misc;NAN
1393;J1701-3006G;NAN;NAN;NAN;58700;353.578;7.316;255.30833333;-30.11166667;0.004608;NAN;113.68;NAN;NAN;NAN;0.08;NAN;7.05;4.748;GC:M62(NGC6266)[rgf+21];meerkat_trapum;NAN
1394;J1701-3130;NAN;NAN;NAN;51500;352.523;6.384;255.43130417;-31.51019444;0.291341;5.6E-17;130.73;9.4;19;NAN;NAN;NAN;5.251;5.251;NAN;pkssw,htru_pks,gbncc;NAN
1395;J1701-3726;NAN;NAN;NAN;57600;347.755;2.833;255.326875;-37.44088889;2.454618;1.11E-14;303.4;40.9;105;NAN;4.1;NAN;12.947;12.947;NAN;pks1,pksmb,htru_pks;NAN
1396;J1701-4533;NAN;NAN;NAN;48360.7;341.36;-2.177;255.371475;-45.56352778;0.322909;5.19E-16;526;18.3;35;NAN;3.1;NAN;19.589;19.589;NAN;pks1,pksmb,htru_pks;NAN
1397;J1701-4958;NAN;NAN;NAN;54844.6;337.835;-4.841;255.30345833;-49.97583333;0.804304;1.1E-16;230;128.7;NAN;NAN;0.26;NAN;10.823;10.823;NAN;pksmb;NAN
1398;J1702-3932;NAN;NAN;NAN;51709;346.203;1.401;255.55983333;-39.54444444;0.390328;3.78E-16;530;14;NAN;NAN;0.3;NAN;15.19;15.19;NAN;pksmb,htru_pks;NAN
1399;J1702-4128;NAN;NAN;NAN;51530;344.744;0.123;255.71883333;-41.48005556;0.182136;5.23E-14;365.75;10;43;NAN;1.17;NAN;3.967;3.967;GRS:4FGL_J1702.9-4131[fermi21];pksmb,htru_pks,FermiAssoc;HE[kbm+03,fermi21]
1400;J1702-4217;NAN;NAN;NAN;51895;344.078;-0.329;255.65183333;-42.28366667;0.227565;1.14E-17;629;41;NAN;NAN;0.5;NAN;4.715;4.715;NAN;pksmb,htru_pks;NAN
1401;J1702-4306;NAN;NAN;NAN;55560;343.405;-0.814;255.614;-43.11252778;0.215508;9.78E-15;538.4;5.9;NAN;NAN;0.46;NAN;5.047;5.047;NAN;pksmb,htru_pks;NAN
1402;J1702-4310;NAN;NAN;NAN;51597;343.352;-0.852;255.61225;-43.17777778;0.240524;2.24E-13;377.6;11.5;23;NAN;0.92;NAN;4.326;4.326;NAN;pksmb,htru_pks;NAN
1403;J1702-4428;NAN;NAN;NAN;51400;342.378;-1.701;255.71916667;-44.4675;2.123506;3.3E-15;395;74;NAN;NAN;0.38;NAN;11.151;11.151;NAN;pksmb,htru_pks;NAN
1404;J1703-18;NAN;NAN;NAN;55064;3.133;13.616;255.85833333;-18.815;1.27024;NAN;46;NAN;NAN;NAN;NAN;NAN;1.416;1.416;NAN;htru_pks;NAN
1405;J1703-1846;-0.73;16.92;0.35;56000;3.229;13.561;255.96288125;-18.77079028;0.804341;1.73E-15;49.55;11.4;22.4;11;0.7;NAN;2.857;1.686;NAN;mol1,mol2,pks70,pkssw;NAN
1406;J1703-3241;NAN;NAN;NAN;50005;351.786;5.387;255.84392038;-32.69667568;1.211785;6.6E-16;110.31;37.7;50;32;8.7;NAN;3.167;3.167;NAN;jb1,mol2,pks70,pksmb,htru_pks;NAN
1407;J1703-38;NAN;NAN;NAN;54999;347.41;2.037;255.85833333;-38.2;6.443;NAN;375;9;NAN;NAN;NAN;NAN;14.17;14.17;NAN;pksmb;RRAT
1408;J1703-4442;NAN;NAN;NAN;51708;342.235;-1.916;255.83579167;-44.71166667;1.747293;1.43E-14;280.2;12;58;NAN;0.21;NAN;5.224;5.224;NAN;pksmb,htru_pks;NAN
1409;J1703-4851;NAN;NAN;NAN;57600;338.986;-4.515;255.97725417;-48.86695556;1.396405;5.07E-15;150.29;9.7;56;22;1.4;NAN;4.114;4.114;NAN;pks70,pksmb;NAN
1410;J1704-3756;NAN;NAN;NAN;57650;347.795;1.953;256.23944167;-37.94525;0.305234;1.13E-14;405.7;11.7;21.3;NAN;0.13;NAN;15.245;15.245;NAN;htru_pks;NAN
1411;J1704-5236;NAN;NAN;NAN;56108;336.051;-6.869;256.1690375;-52.61594444;0.230708;5.2E-17;170;7.273;24.1;NAN;0.6;NAN;9.485;9.485;NAN;htru_pks;NAN
1412;J1704-6016;NAN;NAN;NAN;43557.01;329.762;-11.367;256.06166667;-60.28166667;0.306323;9.1E-16;54;90;125;23;NAN;NAN;1.589;1.589;NAN;mol2,pks70;NAN
1413;J1705-04;NAN;NAN;NAN;56657;15.709;21.105;256.25;-4.68333333;0.23748;NAN;42.95;NAN;NAN;NAN;NAN;NAN;0.21;0.21;NAN;gb350;RRAT
1414;J1705-1903;NAN;NAN;NAN;55307;3.148;13.042;256.3625;-19.13444444;0.00248;NAN;58;NAN;NAN;NAN;NAN;NAN;2.395;2.395;NAN;htru_pks;NAN
1415;J1705-1906;-77;-52;NAN;48733;3.189;13.026;256.40041557;-19.11073499;0.298987;4.14E-15;22.91;154.2;14.7;29;5.66;NAN;0.747;0.747;GRS:4FGL_J1705.6-1909[fermi21];mol2,pks70,pkssw,htru_pks;HE
1416;J1705-3423;NAN;NAN;NAN;57600;350.721;3.975;256.42650833;-34.39530556;0.255427;1.08E-15;146.4;11.7;21;31;5.3;NAN;3.843;3.843;NAN;pks70,pksmb,htru_pks,gbncc;NAN
1417;J1705-3936;NAN;NAN;NAN;51400;346.548;0.845;256.40458333;-39.60805556;0.854482;1.93E-14;598;22;NAN;NAN;0.33;NAN;9.673;9.673;NAN;pksmb,htru_pks;NAN
1418;J1705-3950;NAN;NAN;NAN;51587;346.341;0.718;256.37433333;-39.84972222;0.318941;6.06E-14;207.25;22.1;34;NAN;1.6;NAN;3.426;3.426;NAN;pksmb,htru_pks;NAN
1419;J1705-4108;NAN;NAN;NAN;51505;345.291;-0.042;256.335;-41.14555556;0.861067;3.47E-14;1077;40.4;NAN;NAN;1.3;NAN;5.969;5.969;NAN;pksmb,htru_pks;NAN
1420;J1705-4331;NAN;NAN;NAN;54986;343.428;-1.515;256.39964167;-43.52044444;0.222561;7.12E-17;185.24;10;23;NAN;0.4;NAN;3.441;3.441;NAN;htru_pks;NAN
1421;J1705-6135;NAN;NAN;NAN;54896;328.751;-12.228;256.31375;-61.5875;0.808546;6E-17;95;165.7;85;NAN;0.4;NAN;5.577;5.577;NAN;htru_pks;NAN
1422;J1706-3839;NAN;NAN;NAN;51510;347.387;1.301;256.58875;-38.66416667;0.586287;3E-15;626;26;NAN;NAN;0.2;NAN;17.644;17.644;NAN;pksmb,htru_pks;NAN
1423;J1706-4310;NAN;NAN;NAN;51457;343.758;-1.375;256.51879167;-43.1725;0.616979;6.51E-15;656.1;16;NAN;NAN;0.28;NAN;17.561;17.561;NAN;pksmb,htru_pks;NAN
1424;J1706-4434;NAN;NAN;NAN;57416;342.672;-2.264;256.59659583;-44.575;0.429922;2.58E-15;467;11.8;21.6;NAN;0.19;NAN;19.449;19.449;NAN;htru_pks;NAN
1425;J1706+59;NAN;NAN;NAN;56292;88.097;36.319;256.75;59.16666667;1.476687;NAN;30.8;20;56;8;NAN;NAN;3.931;3.931;NAN;gbncc,lotaas;NAN
1426;J1706-6118;NAN;NAN;NAN;53000;329.053;-12.152;256.54080833;-61.30325;0.361921;2.92E-16;76.13;2.8;NAN;NAN;NAN;NAN;3.394;3.394;NAN;pkssw,htru_pks;NAN
1427;J1707+35;NAN;NAN;NAN;NAN;59.261;35.784;256.75;35.93333333;0.1598;NAN;19.24;3;NAN;NAN;NAN;NAN;1.68;1.68;NAN;lotaas;NAN
1428;J1707-4053;NAN;NAN;NAN;57600;345.718;-0.197;256.84075;-40.89863889;0.581018;1.92E-15;351.78;30.7;79;NAN;10.2;NAN;4;3.887;NAN;pks1,pksmb,htru_pks;NAN
1429;J1707-4341;NAN;NAN;NAN;51708;343.521;-1.915;256.917125;-43.68666667;0.890594;5.7E-15;398.2;12;29;NAN;0.46;NAN;13.009;13.009;NAN;pksmb,htru_pks;NAN
1430;J1707-4417;NAN;NAN;NAN;54999;343.041;-2.278;256.92254167;-44.28861111;5.763777;1.16E-14;380;12.1;NAN;NAN;NAN;NAN;14.053;14.053;NAN;pksmb;RRAT
1431;J1707-4729;NAN;NAN;NAN;51496;340.424;-4.135;256.81477917;-47.49291667;0.266474;1.56E-15;268.3;4.7;37;NAN;2.4;NAN;12.833;12.833;NAN;pksmb,htru_pks;NAN
1432;J1708+02;NAN;NAN;NAN;56631;22.265;23.582;257.1625;1.80166667;0.410772;NAN;29;NAN;NAN;NAN;NAN;NAN;1.454;1.454;NAN;htru_pks;NAN
1433;J1708-3426;NAN;NAN;NAN;57600;351.083;3.407;257.24079167;-34.44555556;0.692116;4.21E-15;188.7;21;35;36;2;NAN;4.638;4.638;NAN;pks70,pksmb,htru_pks,gbncc;NAN
1434;J1708-3506;-5.3;-2;NAN;55132.9;350.47;3.124;257.07342563;-35.10628889;0.004505;1.14E-20;146.73;0.55;1.74;NAN;1.31;NAN;3.32;3.32;NAN;htru_pks;NAN
1435;J1708-3641;NAN;NAN;NAN;56047;349.235;2.13;257.149625;-36.68930556;0.587567;1.35E-16;316;21.8;78.3;NAN;0.12;NAN;11.313;11.313;NAN;htru_pks;NAN
1436;J1708-3827;NAN;NAN;NAN;51401;347.776;1.123;257.06875;-38.46;1.225782;8.6E-15;788;40;NAN;NAN;0.42;NAN;20.594;20.594;NAN;pksmb,htru_pks;NAN
1437;J1708-4008;NAN;NAN;NAN;55567;346.481;0.036;257.19529167;-40.1479;11.006262;1.96E-11;NAN;NAN;NAN;NAN;NAN;NAN;3.8;NAN;XRS:RXSJ170849.0-400910;misc;AXP,NRAD
1438;J1708-4522;NAN;NAN;NAN;52158;342.22;-3.006;257.05383333;-45.38083333;1.297837;2.61E-15;454;17;37;NAN;0.22;NAN;23.091;23.091;NAN;pksmb,htru_pks;NAN
1439;J1708-52;NAN;NAN;NAN;56657;336.854;-6.911;257;-52;0.44962;NAN;102.6;NAN;NAN;NAN;NAN;NAN;3.295;3.295;NAN;ghrss;NAN
1440;J1708-7539;NAN;NAN;NAN;43565.1;316.676;-20.221;257.01041667;-75.65638889;1.191024;1.88E-15;37;25;45;2.5;0.75;NAN;1.322;1.322;NAN;mol2,pkssw;NAN
1441;J1709-1640;-2;47;NAN;46993;5.775;13.657;257.36017208;-16.68270278;0.653054;6.31E-15;24.89;7.6;22.5;47;14.5;NAN;0.562;0.562;NAN;mol1,mol2,gb2,gb3,pks70,pkssw,htru_;NAN
1442;J1709+2313;-3.2;-9.7;NAN;51145;44.522;32.209;257.27413333;23.22440278;0.004631;3.63E-21;25.35;0.34;1.14;2.52;0.2;NAN;2.179;2.179;NAN;ar4;NAN
1443;J1709-3626;NAN;NAN;NAN;51400;349.578;2.095;257.438125;-36.43433333;0.447857;2.27E-15;393.6;17;31;NAN;0.58;NAN;16.081;16.081;NAN;pksmb,htru_pks;NAN
1444;J1709-3841;NAN;NAN;NAN;51117;347.709;0.832;257.316625;-38.68805556;0.586986;7.86E-15;356;19;NAN;NAN;0.31;NAN;4.3;4.3;NAN;pksmb,htru_pks;NAN
1445;J1709-43;NAN;NAN;NAN;NAN;343.567;-2.355;257.44583333;-43.91194444;NAN;NAN;228;3;NAN;NAN;NAN;NAN;4.596;4.596;NAN;htru_pks;RRAT
1446;J1709-4342;NAN;NAN;NAN;51457;343.706;-2.193;257.37875;-43.70388889;1.735898;8E-16;281;50;NAN;NAN;0.14;NAN;6.45;6.45;NAN;pksmb,htru_pks;NAN
1447;J1709-4401;NAN;NAN;NAN;55000;343.471;-2.406;257.42245833;-44.01977778;0.865235;7.37E-15;225.8;10.1;12;NAN;0.8;NAN;4.597;4.597;NAN;htru_pks;NAN
1448;J1709-4429;13;-1;NAN;50042;343.098;-2.686;257.42803333;-44.48562222;0.102459;9.3E-14;75.59;5.7;13;25;12.1;NAN;2.6;2.273;GRS:4FGL_J1709.7-4429[fermi21],SNR:G343.;pks1,pks70,pksmb,htru_pks;HE[ghd02,aaa+10m]
1449;J1710-2616;NAN;NAN;NAN;55070;357.859;8.029;257.52041667;-26.27638889;0.954158;2E-17;110;87.5;96;NAN;0.9;NAN;5.201;5.201;NAN;htru_pks,gbncc;NAN
1450;J1710-37;NAN;NAN;NAN;56657;348.808;1.343;257.625;-37.5;0.792659;NAN;346;61.4;105;NAN;0.1;NAN;6.09;6.09;NAN;htru_pks;NAN
